"County, State",POP010210D,LND110210D,People_Per_Square_Mile
"Powhatan County, Virginia","28,046 ",260.22 ,107.78 
"Prince Edward County, Virginia","23,368 ",349.96 ,66.77 
"Prince George County, Virginia","35,725 ",265.16 ,134.73 
"Prince William County, Virginia","402,002 ",336.40 ,"1,195.01 "
"Pulaski County, Virginia","34,872 ",319.86 ,109.02 
"Rappahannock County, Virginia","7,373 ",266.23 ,27.69 
"Richmond County, Virginia","9,254 ",191.49 ,48.33 
"Roanoke County, Virginia","92,376 ",250.52 ,368.74 
"Rockbridge County, Virginia","22,307 ",597.56 ,37.33 
"Rockingham County, Virginia","76,314 ",849.09 ,89.88 
"Russell County, Virginia","28,897 ",473.82 ,60.99 
"Scott County, Virginia","23,177 ",535.53 ,43.28 
"Shenandoah County, Virginia","41,993 ",508.78 ,82.54 
"Smyth County, Virginia","32,208 ",450.93 ,71.43 
"Southampton County, Virginia","18,570 ",599.15 ,30.99 
"Spotsylvania County, Virginia","122,397 ",401.50 ,304.85 
"Stafford County, Virginia","128,961 ",268.96 ,479.48 
"Surry County, Virginia","7,058 ",278.95 ,25.30 
"Sussex County, Virginia","12,087 ",490.22 ,24.66 
"Tazewell County, Virginia","45,078 ",518.85 ,86.88 
"Warren County, Virginia","37,575 ",213.47 ,176.02 
"Washington County, Virginia","54,876 ",560.98 ,97.82 
"Westmoreland County, Virginia","17,454 ",229.38 ,76.09 
"Wise County, Virginia","41,452 ",403.19 ,102.81 
"Wythe County, Virginia","29,235 ",461.82 ,63.30 
"York County, Virginia","65,464 ",104.78 ,624.78 
"Alexandria city, Virginia","139,966 ",15.03 ,"9,312.44 "
"Bedford County, Virginia","6,222 ",753.02 ,8.26 
"Bristol city, Virginia","17,835 ",13.01 ,"1,370.87 "
"Buena Vista city, Virginia","6,650 ",6.70 ,992.54 
"Charlottesville city, Virginia","43,475 ",10.24 ,"4,245.61 "
"Chesapeake city, Virginia","222,209 ",340.80 ,652.02 
"Colonial Heights city, Virginia","17,411 ",7.52 ,"2,315.29 "
"Danville city, Virginia","43,055 ",42.93 ,"1,002.91 "
"Fairfax County, Virginia","22,565 ",390.97 ,57.72 
"Falls Church city, Virginia","12,332 ",2.00 ,"6,166.00 "
"Franklin County, Virginia","8,582 ",690.43 ,12.43 
"Fredericksburg city, Virginia","24,286 ",10.44 ,"2,326.25 "
"Galax city, Virginia","7,042 ",8.24 ,854.61 
"Hampton city, Virginia","137,436 ",51.41 ,"2,673.33 "
"Harrisonburg city, Virginia","48,914 ",17.42 ,"2,807.92 "
"Hopewell city, Virginia","22,591 ",10.28 ,"2,197.57 "
"Lynchburg city, Virginia","75,568 ",49.13 ,"1,538.12 "
"Manassas city, Virginia","37,821 ",9.88 ,"3,828.04 "
"Manassas city, Virginia","14,273 ",9.88 ,"1,444.64 "
"Martinsville city, Virginia","13,821 ",10.96 ,"1,261.04 "
"Newport News city, Virginia","180,719 ",68.71 ,"2,630.17 "
"Norfolk city, Virginia","242,803 ",54.12 ,"4,486.38 "
"Norton city, Virginia","3,958 ",7.48 ,529.14 
"Petersburg city, Virginia","32,420 ",22.93 ,"1,413.87 "
"Poquoson city, Virginia","12,150 ",15.32 ,793.08 
"Portsmouth city, Virginia","95,535 ",33.65 ,"2,839.08 "
"Radford city, Virginia","16,408 ",9.87 ,"1,662.41 "
"Richmond County, Virginia","204,214 ",191.49 ,"1,066.45 "
"Roanoke County, Virginia","97,032 ",250.52 ,387.32 
"Salem city, Virginia","24,802 ",14.44 ,"1,717.59 "
"Staunton city, Virginia","23,746 ",19.98 ,"1,188.49 "
"Suffolk city, Virginia","84,585 ",400.17 ,211.37 
"Virginia Beach city, Virginia","437,994 ",249.02 ,"1,758.87 "
"Waynesboro city, Virginia","21,006 ",15.04 ,"1,396.68 "
"Williamsburg city, Virginia","14,068 ",9.02 ,"1,559.65 "
"Winchester city, Virginia","26,203 ",9.23 ,"2,838.89 "
"Adams County, Washington","18,728 ","1,924.98 ",9.73 
"Asotin County, Washington","21,623 ",636.21 ,33.99 
"Benton County, Washington","175,177 ","1,700.38 ",103.02 
"Chelan County, Washington","72,453 ","2,920.53 ",24.81 
"Clallam County, Washington","71,404 ","1,738.33 ",41.08 
"Clark County, Washington","425,363 ",629.00 ,676.25 
"Columbia County, Washington","4,078 ",868.63 ,4.69 
"Cowlitz County, Washington","102,410 ","1,140.13 ",89.82 
"Douglas County, Washington","38,431 ","1,819.26 ",21.12 
"Ferry County, Washington","7,551 ","2,203.16 ",3.43 
"Franklin County, Washington","78,163 ","1,242.17 ",62.92 
"Garfield County, Washington","2,266 ",710.69 ,3.19 
"Grant County, Washington","89,120 ","2,679.51 ",33.26 
"Grays Harbor County, Washington","72,797 ","1,902.03 ",38.27 
"Island County, Washington","78,506 ",208.45 ,376.62 
"Jefferson County, Washington","29,872 ","1,803.70 ",16.56 
"King County, Washington","1,931,249 ","2,115.57 ",912.87 
"Kitsap County, Washington","251,133 ",394.94 ,635.88 
"Kittitas County, Washington","40,915 ","2,297.27 ",17.81 
"Klickitat County, Washington","20,318 ","1,871.31 ",10.86 
